PMID,Authors,Title,Date,Abstract,PMC ID
38704805,"Christopher J Borgert, Lyle D Burgoon, John C Matthews",The physiological and biochemical basis of potency thresholds modeled using human estrogen receptor alpha: implications for identifying endocrine disruptors.,2024,"The endocrine system functions by interactions between ligands and receptors. Ligands exhibit potency for binding to and interacting with receptors. Potency is the product of affinity and efficacy. Potency and physiological concentration determine the ability of a ligand to produce physiological effects. The kinetic behavior of ligand-receptor interactions conforms to the laws of mass action. The laws of mass action define the relationship between the affinity of a ligand and the fraction of cognate receptors that it occupies at any physiological concentration. We previously identified the minimum ligand potency required to produce clinically observable estrogenic agonist effects via the human estrogen receptor-alpha (ERα). By examining data on botanical estrogens and dietary supplements, we demonstrated that ERα ligands with potency lower than one one-thousandth that of the primary endogenous hormone 17β-estradiol (E2) do not produce clinically observable estrogenic effects. This allowed us to propose a Human-Relevant Potency Threshold (HRPT) for ERα ligands of 1 × 10-4 relative to E2. Here, we test the hypothesis that the HRPT for ERα arises from the receptor occupancy by the normal metabolic milieu of endogenous ERα ligands. The metabolic milieu comprises precursors to hormones, metabolites of hormones, and other normal products of metabolism. We have calculated fractional receptor occupancies for ERα ligands with potencies below and above the previously established HRPT when normal circulating levels of some endogenous ERα ligands and E2 were also present. Fractional receptor occupancy calculations showed that individual ERα ligands with potencies more than tenfold higher than the HRPT can compete for occupancy at ERα against individual components of the endogenous metabolic milieu and against mixtures of those components at concentrations found naturally in human blood. Ligands with potencies less than tenfold higher than the HRPT were unable to compete successfully for ERα. These results show that the HRPT for ERα agonism (10-4 relative to E2) proposed previously is quite conservative and should be considered strong evidence against the potential for disruption of the estrogenic pathway. For chemicals with potency 10-3 of E2, the potential for estrogenic endocrine disruption must be considered equivocal and subject to the presence of corroborative evidence. Most importantly, this work demonstrates that the endogenous metabolic milieu is responsible for the observed ERα agonist HRPT, that this HRPT applies also to ERα antagonists, and it provides a compelling mechanistic explanation for the HRPT that is grounded in basic principles of molecular kinetics using well characterized properties and concentrations of endogenous components of normal metabolism.",PMC11106131
38667186,"Nidaa Abu-Rmailah, Liat Moscovici, Carolin Riegraf, Hadas Atias, Sebastian Buchinger, Georg Reifferscheid, Shimshon Belkin",Enhanced Detection of Estrogen-like Compounds by Genetically Engineered Yeast Sensor Strains.,2024,"The release of endocrine-disrupting compounds (EDCs) to the environment poses a health hazard to both humans and wildlife. EDCs can activate or inhibit endogenous endocrine functions by binding hormone receptors, leading to potentially adverse effects. Conventional analytical methods can detect EDCs at a high sensitivity and precision, but are blind to the biological activity of the detected compounds. To overcome this limitation, yeast-based bioassays have previously been developed as a pre-screening method, providing an effect-based overview of hormonal-disruptive activity within the sample prior to the application of analytical methods. These yeast biosensors express human endocrine-specific receptors, co-transfected with the relevant response element fused to the specific fluorescent protein reporter gene. We describe several molecular manipulations of the sensor/reporter circuit in a Saccharomyces cerevisiae bioreporter strain that have yielded an enhanced detection of estrogenic-like compounds. Improved responses were displayed both in liquid culture (96-well plate format) as well as in conjunction with sample separation using high-performance thin-layer chromatography (HPTLC). The latter approach allows for an assessment of the biological effect of individual sample components without the need for their chemical identification at the screening stage.",PMC11048378
38594491,"Ying Sun, Lin Chen, Bing Zhao, Ruige Wang",Molecular docking and molecular dynamics simulation decoding molecular mechanism of EDCs binding to hERRγ.,2024,"Human estrogen-related receptor γ (hERRγ) is a key protein involved in various endocrines and metabolic signaling. Numerous environmental endocrine-disrupting chemicals (EDCs) can impact related physiological activities through receptor signaling pathways. Focused on hERRγ with 4-isopropylphenol, bisphenol-F (BPF), and BP(2,2)(Un) complexes, we executed molecular docking and multiple molecular dynamics (MD) simulations along with molecular mechanics/Poisson-Boltzmann surface area (MM-PBSA) and solvation interaction energy (SIE) calculation to study the detailed dynamical structural characteristics and interactions between them. Molecular docking showed that hydrogen bonds and hydrophobic interactions were the prime interactions to keep the stability of BPF-hERRγ and hERRγ-BP(2,2)(Un) complexes. Through MD simulations, we observed that all complexes reach equilibrium during the initial 50 ns of simulation, but these three EDCs lead to local structure changes in hERRγ. Energy results further identified key residues L268, V313, L345, and F435 around the binding pockets through CH-π, π-π, and hydrogen bonds interactions play an important stabilizing role in the recognition with EDCs. And most noticeable of all, hydrophobic methoxide groups in BP(2,2)(Un) is useful for decreasing the binding ability between EDCs and hERRγ. These results may contribute to evaluate latent diseases associated with EDCs exposure at the micro level and find potential substitutes. Autodock4.2 was used to conduct the molecular docking, sietraj program was performed to calculate the energy, and VMD software was used to visualize the structure. Amber18 was conducted to perform the MD simulation and other analyses.",8217550
38535903,"Aaron Dixon, Evelyn G Rowan, Allison N Yackley, Erin P Hines",PFAS Modulate Osmotic Signaling Independent of Gravimetric Changes in the Rat Uterus.,2024,"Various PFAS have been identified as potential endocrine-disrupting chemicals due to estrogen receptor activation, impacts on puberty timing, or impacts on hormonally sensitive endpoints in fish. This study screened multiple PFAS in the rat uterotrophic assay to determine potential estrogenic effects on the uterus with PFAS exposure. This study also explored PFAS-dependent uterine signaling with an osmotic stress mRNA gene expression array. Briefly, Sprague-Dawley rats (26-39 days old) were ovariectomized, and uterine tissue was allowed to regress for a 3-week period of recovery. Animals were then exposed daily via oral gavage to PFAS for 4 days, and then uterine weight was determined. In contrast to the positive control estrogens, the PFAS tested (4:2, 6:2, and 8:2FTOH; perfluorooctanesulfonamide (PFOSA), perfluorononanoic acid (PFNA), perfluorohexane sulfonate (PFHxS), perfluorooctane sulfonate (PFOS), nafion byproduct 2 (NBP2), 1H,1H,8H,8H-perfluorooctane-1,8-diol (FC8-diol) and 1H,1H,10H,10H-perfluorodecane-1,10-diol (FC10-diol)) caused no significant changes in the uterine weight. Hormonally active compounds can act as carcinogens, and because earlier rodent work has demonstrated that chronic PFOA exposure is associated with increased risk of uterine cancer, uterine mRNA gene expression was explored with an osmotic stress RT-qPCR array. PFAS exposure significantly upregulated multiple genes across the array, with PFOSA being the compound most similar to the reference estrogens (estradiol benzoate and ethinyl estradiol) in its expression pattern. Also, across all PFAS, pathway analysis revealed that the paxillin pathway, a pathway important in tumor suppressor gene SHP-2 signaling, was significantly upregulated with PFAS exposure. These results demonstrate that in vitro estrogen screens or impacts in fish may show different responses from direct impacts on mammalian uterine weight as assessed with the uterotrophic assay. This study also builds out new mechanisms that may contribute to understanding of carcinogenic changes seen in the uterus after PFAS exposure.",PMC10975357
38535495,"Margarida Lorigo, João Amaro, Elisa Cairrao",Spironolactone Induces Vasodilation by Endothelium-Dependent Mechanisms Involving NO and by Endothelium-Independent Mechanisms Blocking Ca2+ Channels.,2024,"Spironolactone (SPI) is a diuretic widely used to treat cardiovascular diseases (CVD) and is non-specific for mineralocorticoid receptors (MR) and with an affinity for progesterone (PR) and androgen (AR) receptors. Since 2009, it has been suggested that pharmaceuticals are emerging contaminants (called EDC), and recently, it was reported that most EDC are AR and MR antagonists and estrogen receptors (ER) agonists. Concerning SPI, endocrine-disrupting effects were observed in female western mosquitofish, but there are still no data regarding the SPI effects as a possible human EDC. In this work, aortic rings were used to analyze the contractility effects of SPI and the mode of action concerning the involvement of Ca2+ channels and endothelial pathways. Moreover, cytotoxic effects were analyzed by MTT assays. SPI induces vasodilation in the rat aorta by endothelium-dependent mechanisms involving NO and by endothelium-independent mechanisms blocking Ca2+ channels. Moreover, a non-monotonic effect characteristic of EDC was observed for SPI-induced decrease in cell viability. Our findings suggest that SPI may act as an EDC at a human level. However, ex vivo studies with human arteries should be carried out to better understand this drug's implications for human health and future generations.",PMC10971388
38448539,"Diana A Stavreva, Lyuba Varticovski, Razi Raziuddin, Gianluca Pegoraro, R Louis Schiltz, Gordon L Hager",Novel biosensor for high-throughput detection of progesterone receptor-interacting endocrine disruptors.,2024,"Progesterone receptor (PR)-interacting compounds in the environment are associated with serious health hazards. However, methods for their detection in environmental samples are cumbersome. We report a sensitive activity-based biosensor for rapid and reliable screening of progesterone receptor (PR)-interacting endocrine disrupting chemicals (EDCs). The biosensor is a cell line which expresses nuclear mCherry-NF1 and a green fluorescent protein (GFP)-tagged chimera of glucocorticoid receptor (GR) N terminus fused to the ligand binding domain (LBD) of PR (GFP-GR-PR). As this LBD is shared by the PRA and PRB, the biosensor reports on the activation of both PR isoforms. This GFP-GR-PR chimera is cytoplasmic in the absence of hormone and translocates rapidly to the nucleus in response to PR agonists or antagonists in concentration- and time-dependent manner. In live cells, presence of nuclear NF1 label eliminates cell fixation and nuclear staining resulting in efficient screening. The assay can be used in screens for novel PR ligands and PR-interacting contaminants in environmental samples. A limited screen of river water samples indicated a widespread, low-level contamination with PR-interacting contaminants in all tested samples.",PMC10917811
38440973,"Molly McPartland, Sarah Stevens, Zdenka Bartosova, Ingrid Gisnås Vardeberg, Johannes Völker, Martin Wagner",Beyond the Nucleus: Plastic Chemicals Activate G Protein-Coupled Receptors.,2024,"G protein-coupled receptors (GPCRs) are central mediators of cell signaling and physiological function. Despite their biological significance, GPCRs have not been widely studied in the field of toxicology. Herein, we investigated these receptors as novel targets of plastic chemicals using a high-throughput drug screening assay with 126 human non-olfactory GPCRs. In a first-pass screen, we tested the activity of triphenol phosphate, bisphenol A, and diethyl phthalate, as well as three real-world mixtures of chemicals extracted from plastic food packaging covering all major polymer types. We found 11 GPCR-chemical interactions, of which the chemical mixtures exhibited the most robust activity at adenosine receptor 1 (ADORA1) and melatonin receptor 1 (MTNR1A). We further confirm that polyvinyl chloride and polyurethane products contain ADORA1 or MTNRA1 agonists using a confirmatory secondary screen and pharmacological knockdown experiments. Finally, an analysis of the associated gene ontology terms suggests that ADORA1 and MTNR1A activation may be linked to downstream effects on circadian and metabolic processes. This work highlights that signaling disruption caused by plastic chemicals is broader than that previously believed and demonstrates the relevance of nongenomic pathways, which have, thus far, remained unexplored.",PMC10956435
38251005,"Andrei Raphael M Carrera, Elisa G Eleazar, Alvin R Caparanga, Lemmuel L Tayo",Theoretical Studies on the Quantitative Structure-Toxicity Relationship of Polychlorinated Biphenyl Congeners Reveal High Affinity Binding to Multiple Human Nuclear Receptors.,2024,"Polychlorinated biphenyls (PCBs) are organic chemicals consisting of a biphenyl structure substituted with one to ten chlorine atoms, with 209 congeners depending on the number and position of the chlorine atoms. PCBs are widely known to be endocrine-disrupting chemicals (EDCs) and have been found to be involved in several diseases/disorders. This study takes various molecular descriptors of these PCBs (e.g., molecular weight) and toxicity endpoints as molecular activities, investigating the possibility of correlations via the quantitative structure-toxicity relationship (QSTR). This study then focuses on molecular docking and dynamics to investigate the docking behavior of the strongest-binding PCBs to nuclear receptors and compares these to the docking behavior of their natural ligands. Nuclear receptors are a family of transcription factors activated by steroid hormones, and they have been investigated to consider the impact of PCBs on humans in this context. It has been observed that the docking affinity of PCBs is comparable to that of the natural ligands, but they are inferior in terms of stability and interacting forces, as shown by the RMSD and total energy values. However, it is noted that most nuclear receptors respond to PCBs similarly to how they respond to their natural ligands-as shown in the RMSF plots-the most similar of which are seen in the ER, THR-β, and RAR-α. However, this study is performed purely in silico and will need experimental verification for validation.",PMC10821279
38169792,"Derek A Abbott, Maureen G Mancini, Michael J Bolt, Adam T Szafran, Kaley A Neugebauer, Fabio Stossi, Daniel A Gorelick, Michael A Mancini",A novel ERβ high throughput microscopy platform for testing endocrine disrupting chemicals.,2024,"In this study we present an inducible biosensor model for the Estrogen Receptor Beta (ERβ), GFP-ERβ:PRL-HeLa, a single-cell-based high throughput (HT) in vitro assay that allows direct visualization and measurement of GFP-tagged ERβ binding to ER-specific DNA response elements (EREs), ERβ-induced chromatin remodeling, and monitor transcriptional alterations via mRNA fluorescence in situ hybridization for a prolactin (PRL)-dsRED2 reporter gene. The model was used to accurately (Z' = 0.58-0.8) differentiate ERβ-selective ligands from ERα ligands when treated with a panel of selective agonists and antagonists. Next, we tested an Environmental Protection Agency (EPA)-provided set of 45 estrogenic reference chemicals with known ERα in vivo activity and identified several that activated ERβ as well, with varying sensitivity, including a subset that is completely novel. We then used an orthogonal ERE-containing transgenic zebrafish (ZF) model to cross validate ERβ and ERα selective activities at the organism level. Using this environmentally relevant ZF assay, some compounds were confirmed to have ERβ activity, validating the GFP-ERβ:PRL-HeLa assay as a screening tool for potential ERβ active endocrine disruptors (EDCs). These data demonstrate the value of sensitive multiplex mechanistic data gathered by the GFP-ERβ:PRL-HeLa assay coupled with an orthogonal zebrafish model to rapidly identify environmentally relevant ERβ EDCs and improve upon currently available screening tools for this understudied nuclear receptor.",PMC10758781
38162763,"Shanmuga Priya Baskaran, Ajaya Kumar Sahoo, Nikhil Chivukula, Kishan Kumar, Areejit Samal",Cheminformatics Analysis of the Multitarget Structure-Activity Landscape of Environmental Chemicals Binding to Human Endocrine Receptors.,2023,"In human exposome, environmental chemicals can target and disrupt different endocrine axes, ultimately leading to several endocrine disorders. Such chemicals, termed endocrine disrupting chemicals, can promiscuously bind to different endocrine receptors and lead to varying biological end points. Thus, understanding the complexity of molecule-receptor binding of environmental chemicals can aid in the development of robust toxicity predictors. Toward this, the ToxCast project has generated the largest resource on the chemical-receptor activity data for environmental chemicals that were screened across various endocrine receptors. However, the heterogeneity in the multitarget structure-activity landscape of such chemicals is not yet explored. In this study, we systematically curated the chemicals targeting eight human endocrine receptors, their activity values, and biological end points from the ToxCast chemical library. We employed dual-activity difference and triple-activity difference maps to identify single-, dual-, and triple-target cliffs across different target combinations. We annotated the identified activity cliffs through the matched molecular pair (MMP)-based approach and observed that a small fraction of activity cliffs form MMPs. Further, we structurally classified the activity cliffs and observed that R-group cliffs form the highest fraction among the cliffs identified in various target combinations. Finally, we leveraged the mechanism of action (MOA) annotations to analyze structure-mechanism relationships and identified strong MOA-cliffs and weak MOA-cliffs, for each of the eight endocrine receptors. Overall, insights from this first study analyzing the structure-activity landscape of environmental chemicals targeting multiple human endocrine receptors will likely contribute toward the development of better toxicity prediction models for characterizing the human chemical exposome.",PMC10753715
