PMID,Authors,Title,Date,Abstract,PMC ID
38813174,"Lina Xie, Bingwu Huang, Xuyong Zhao, Ning Zhu",Exploring the mechanisms underlying effects of bisphenol a on cardiovascular disease by network toxicology and molecular docking.,2024,"Globally, cardiovascular disease (CVD) has emerged as a leading cause of mortality. Bisphenol A (BPA), recognized as one of the most prevalent and widely distributed endocrine-disrupting chemicals (EDCs), has been consistently linked to the progression of CVD. This research centers on unraveling the molecular mechanisms responsible for the toxic effects of BPA exposure on CVD. Key targets and pathways involved in action of BPA on CVD were investigated by network toxicology. Binding abilities of BPA to core targets were evaluated by molecular docking. Based on information retrieved from ChEMBL, DrugBank, and OMIM databases, a total of 27 potential targets were found to be associated with the influence of BPA on CVD. Furthermore, the STRING and Cytoscape software were employed to identify three central genes-ESR1, PPARG, and PTGS2-and to construct both the protein-protein interaction network and an interaction diagram of potential targets. Gene ontology (GO) and KEGG (Kyoto Encyclopedia of Genes and Genomes, KEGG) pathway enrichment analyses via WebGestalt revealed key biological processes (BP), cellular components (CC), molecular functions (MF), and pathways, such as the calcium signaling pathway, inflammatory mediator regulation of TRP channels, gap junction, adrenergic signaling in cardiomyocytes, cGMP-PKG signaling pathway, and cAMP signaling pathway, predominantly involved in BPA-induced CVD toxicity. By using molecular docking investigations, it proved that BPA binds to ESR1, PPARG, and PTGS2 steadily and strongly. This study not only establishes a theoretical framework for understanding the molecular toxicity mechanism of BPA in cardiovascular disease (CVD) but also introduces an innovative network toxicology approach to methodically investigate the influence of environmental contaminants on CVD. This methodology sets the stage for drug discovery efforts targeting CVD linked to exposure to endocrine-disrupting chemicals (EDCs).",PMC11133888
38787124,"Yuxiao Tong, Manjun Xie, Hanwen Xv, Ruihua Sun, Qian Wang, Juanying Li",Microplastics and Endocrine Disruptors in Typical Wastewater Treatment Plants in Megacity Shanghai.,2024,"The fast development of China's urbanization has led to a notable release of emerging pollutants, including microplastics (MPs) and endocrine disruptors (EDCs). Generally, these pollutants enter the coastal environment through the discharge of wastewater treatment plants (WWTPs) and finally threaten the organisms in the receiving waterbody. The study investigated the environmental behavior of MPs and EDCs in two typical WWTPs in one of the megacities in China, Shanghai. The abundance of MPs in the influent ranged from 321 to 976 items/L. Four shapes (films, fragments, fibers, and microbead) were found, while fibers and films dominated. Transparent (31-63%) and white (20-47%) MPs were more frequently observed, while polyethylene terephthalate, cellulose, and cellophane were the main polymetric materials. The size of the MPs fell between 15.8 μm and 2220 μm, and the smaller one (<500 μm) dominated. The removal efficiencies of the two WWTPs for MPs ranged from 64% to 92%, and both WWTPs performed better for large pieces of MPs (>500 μm). For EDCs, total concentrations in the influent were detected, ranging from 113 to 2780 ng/L. Two groups, including phenolic estrogens (PEs) and steroid estrogens (SEs), were detected, and PEs, especially bisphenol A (BPA), were the predominant individuals among the studied EDCs. Specifically, PEs ranged from 82.8 to 2637 ng/L, while SEs ranged from 27.3 to 143 ng/L. The removal efficiencies of the WWTPs for EDCs varied (82.8-100%) as well, possibly due to the different treatment compartments and contamination load in the influent. Seasonal variations for both MPs and EDCs were observed. Specifically, concentrations of MPs and EDCs in WWTPs influent were higher in the wet season, as well as the removal efficiency. Furthermore, there was a correlation observed between the concentrations of MPs and EDCs, suggesting that MPs and EDCs may originate from the same source and that EDCs released by MPs cannot be ignored during treatment. Finally, the study evaluated the environmental risk of the effluents. MPs led to a minor risk (Level I), while EDCs might lead to an adverse impact on algae (RQs = 0.0014-0.024) and fish (RQs = 3.4-30.2). In summary, WWTPs received considerable amounts of MPs and EDCs. Although the WWTPs removed the contaminants efficiently, the environmental risk of the effluent needs to be noted.",PMC11126012
38780942,"Nuria Güil-Oumrait, Nikos Stratakis, Léa Maitre, Augusto Anguita-Ruiz, Jose Urquiza, Lorenzo Fabbri, Xavier Basagaña, Barbara Heude, Line Småstuen Haug, Amrit Kaur Sakhi, Nina Iszatt, Hector C Keun, John Wright, Leda Chatzi, Marina Vafeiadi, Mariona Bustamante, Regina Grazuleviciene, Sandra Andrušaityte, Rémy Slama, Rosemary McEachan, Maribel Casas, Martine Vrijheid",Prenatal Exposure to Chemical Mixtures and Metabolic Syndrome Risk in Children.,2024,"Prenatal exposure to ubiquitous endocrine-disrupting chemicals (EDCs) may increase the risk of metabolic syndrome (MetS) in children, but few studies have studied chemical mixtures or explored underlying protein and metabolic signatures. To investigate associations of prenatal exposure to EDC mixtures with MetS risk score in children and identify associated proteins and metabolites. This population-based, birth cohort study used data collected between April 1, 2003, and February 26, 2016, from the Human Early Life Exposome cohort based in France, Greece, Lithuania, Norway, Spain, and the UK. Eligible participants included mother-child pairs with measured prenatal EDC exposures and complete data on childhood MetS risk factors, proteins, and metabolites. Data were analyzed between October 2022 and July 2023. Nine metals, 3 organochlorine pesticides, 5 polychlorinated biphenyls, 2 polybrominated diphenyl ethers (PBDEs), 5 perfluoroalkyl substances (PFAS), 10 phthalate metabolites, 3 phenols, 4 parabens, and 4 organophosphate pesticide metabolites measured in urine and blood samples collected during pregnancy. At 6 to 11 years of age, a composite MetS risk score was constructed using z scores of waist circumference, systolic and diastolic blood pressures, triglycerides, high-density lipoprotein cholesterol, and insulin levels. Childhood levels of 44 urinary metabolites, 177 serum metabolites, and 35 plasma proteins were quantified using targeted methods. Associations were assessed using bayesian weighted quantile sum regressions applied to mixtures for each chemical group. The study included 1134 mothers (mean [SD] age at birth, 30.7 [4.9] years) and their children (mean [SD] age, 7.8 [1.5] years; 617 male children [54.4%] and 517 female children [45.6%]; mean [SD] MetS risk score, -0.1 [2.3]). MetS score increased per 1-quartile increase of the mixture for metals (β = 0.44; 95% credible interval [CrI], 0.30 to 0.59), organochlorine pesticides (β = 0.22; 95% CrI, 0.15 to 0.29), PBDEs (β = 0.17; 95% CrI, 0.06 to 0.27), and PFAS (β = 0.19; 95% CrI, 0.14 to 0.24). High-molecular weight phthalate mixtures (β = -0.07; 95% CrI, -0.10 to -0.04) and low-molecular weight phthalate mixtures (β = -0.13; 95% CrI, -0.18 to -0.08) were associated with a decreased MetS score. Most EDC mixtures were associated with elevated proinflammatory proteins, amino acids, and altered glycerophospholipids, which in turn were associated with increased MetS score. This cohort study suggests that prenatal exposure to EDC mixtures may be associated with adverse metabolic health in children. Given the pervasive nature of EDCs and the increase in MetS, these findings hold substantial public health implications.",PMC11117089
38732537,"Ruiqi Zhou, Zhongwen Chen, Tingting Yang, Huiwen Gu, Xiaohong Yang, Shuqun Cheng",Vitamin D Deficiency Exacerbates Poor Sleep Outcomes with Endocrine-Disrupting Chemicals Exposure: A Large American Population Study.,2024,"Phthalates and bisphenol A are recognized as the predominant endocrine-disrupting substances (EDCs) in the environment, but their impact on sleep health remains unclear. Vitamin D has often been reported to play a role in sleep health and may be affected by endocrine-disrupting compounds. The study utilized data from 5476 individuals in the NHANES project to investigate the correlation between combined exposure to environmental EDCs and sleep duration through modeling various exposures. Furthermore, it emphasizes the importance of vitamin D in the present scenario. Preliminary analyses suggested that vitamin D-deficient individuals generally slept shorter than individuals with normal vitamin D (p < 0.05). Exposure to Mono-ethyl phthalate (MEP), triclosan (TRS), and Mono-benzyl phthalate (MZP), either alone or in combination, was associated with reduced sleep duration and a greater risk of vitamin D deficiency. Individuals with low vitamin D levels exposed to TRS experienced shorter sleep duration than those with normal vitamin D levels (p < 0.05). TRS and MZP were identified as crucial factors in patient outcomes when evaluating mixed exposures (p < 0.05). The results provide new data supporting a link between exposure to EDCs and insufficient sleep length. Additionally, they imply that a vitamin D shortage may worsen the sleep problems induced by EDCs.",PMC11085561
38732095,"Paolo Cocci, Danilo Bondi, Carmen Santangelo, Tiziana Pietrangelo, Vittore Verratti, Angelo Cichelli, Giovanni Caprioli, Franks Kamgang Nzekoue, Manuella Lesly Kouamo Nguefang, Gianni Sagratini, Gilberto Mosconi, Francesco Alessandro Palermo",Extracellular Vesicles in Environmental Toxicological Studies: Association between Urinary Concentrations of Phthalate Metabolites and Exosomal miRNA Expression Profiles.,2024,"Phthalates are chemical compounds, mainly used as additives in plastics, which are known to induce harmful impacts to the environment and human health due to their ability to act as hormone-mimics. Few studies have been reported on the relationship between human exposure to phthalates and the level of circulating microRNAs (miRs), especially those miRs encapsulated in extracellular vesicles/exosomes or exosome-like vesicles (ELVs). We examined the relationship of ELV-miR expression patterns and urine of adult men with five phthalate metabolites (i.e., mono isobutyl phthalate, mono-n-butyl phthalate, mono benzyl phthalate, mono-(2-ethyl-5-oxohexyl) phthalate, mono-(2-ethylhexyl) phthalate) to identify potential biomarkers and relevant pathways. We found significant positive associations which were further confirmed by multivariable analysis. Overall, our analyses showed that the Σ phthalate metabolite concentration was associated with a significant increase in the expression level of two miRs found in ELV: miR-202 and miR-543. Different pathways including cancer and immune-related responses were predicted to be involved in this relationship. Analyzing the specific downstream target genes of miR-202 and miR-543, we identified the phosphatase and tensin homolog (PTEN) as the key gene in several converging pathways. In summary, the obtained results demonstrate that exposure to environmental phthalates could be related to altered expression profiles of specific ELV-miRs in adult men, thereby demonstrating the potential of miRs carried by exosomes to act as early effect biomarkers.",PMC11084695
38728218,"Marion Ouidir, Aminata H Cissé, Jérémie Botton, Sarah Lyon-Caen, Cathrine Thomsen, Amrit K Sakhi, Azemira Sabaredzovic, Sam Bayat, Rémy Slama, Barbara Heude, Claire Philippat","Fetal and Infancy Exposure to Phenols, Parabens, and Phthalates and Anthropometric Measurements up to 36 Months, in the Longitudinal SEPAGES Cohort.",2024,"Endocrine-disrupting chemicals may play a role in adiposity development during childhood. Until now literature in this scope suffers from methodologic limitations in exposure assessment using one or few urine samples and missing assessment during the infancy period. We investigated the associations between early-life exposure to quickly metabolized chemicals and post-natal growth, relying on repeated within-subject urine collections over pregnancy and infancy. We studied the associations of four phenols, four parabens, seven phthalates, and one nonphthalate plasticizer from weekly pooled urine samples collected from the mother during second and third trimesters (median 18 and 34 gestational weeks, respectively) and infant at 2 and 12 months of age, and child growth until 36 months. We relied on repeated measures of height, weight and head circumference from study visits and the child health booklet to predict growth outcomes at 3 and 36 months using the Jenss-Bayley nonlinear mixed model. We assessed associations with individual chemicals using adjusted linear regression and mixtures of chemicals using a Bayesian kernel machine regression model. The unipollutant analysis revealed few associations. Bisphenol S (BPS) at second trimester was positively associated with all infant growth parameters at 3 and 36 months, with similar patterns between exposure at third trimester and all infant growth parameters at 3 months. Mono-n-butyl phthalate (MnBP) at 12 months was positively associated with body mass index (BMI), weight, and head circumference at 36 months. Mixture analysis revealed positive associations between exposure at 12 months and BMI and weight at 36 months, with MnBP showing the highest effect size within the mixture. This study suggests that exposure in early infancy may be associated with increased weight and BMI in early childhood, which are risk factors of obesity in later life. Furthermore, this study highlighted the impact of BPS, a compound replacing bisphenol A, which has never been studied in this context. https://doi.org/10.1289/EHP13644.",PMC11086749
38719310,"Emma V Preston, Marlee R Quinn, Paige L Williams, Thomas F McElrath, David E Cantonwine, Ellen W Seely, Blair J Wylie, Michele R Hacker, Karen O'Brien, Florence M Brown, Camille E Powe, Andrea Bellavia, Zifan Wang, Kathryn S Tomsho, Russ Hauser, Tamarra James-Todd","Cohort profile: the Environmental Reproductive and Glucose Outcomes (ERGO) Study (Boston, Massachusetts, USA) - a prospective pregnancy cohort study of the impacts of environmental exposures on parental cardiometabolic health.",2024,"Pregnancy and the postpartum period are increasingly recognised as sensitive windows for cardiometabolic disease risk. Growing evidence suggests environmental exposures, including endocrine-disrupting chemicals (EDCs), are associated with an increased risk of pregnancy complications that are associated with long-term cardiometabolic risk. However, the impact of perinatal EDC exposure on subsequent cardiometabolic risk post-pregnancy is less understood. The Environmental Reproductive and Glucose Outcomes (ERGO) Study was established to investigate the associations of environmental exposures during the perinatal period with post-pregnancy parental cardiometabolic health. Pregnant individuals aged ≥18 years without pre-existing diabetes were recruited at <15 weeks of gestation from Boston, Massachusetts area hospitals. Participants completed ≤4 prenatal study visits (median: 12, 19, 26, 36 weeks of gestation) and 1 postpartum visit (median: 9 weeks), during which we collected biospecimens, health histories, demographic and behavioural data, and vitals and anthropometric measurements. Participants completed a postpartum fasting 2-hour 75 g oral glucose tolerance test. Clinical data were abstracted from electronic medical records. Ongoing (as of 2024) extended post-pregnancy follow-up visits occur annually following similar data collection protocols. We enrolled 653 unique pregnancies and retained 633 through delivery. Participants had a mean age of 33 years, 10% (n=61) developed gestational diabetes and 8% (n=50) developed pre-eclampsia. Participant pregnancy and postpartum urinary phthalate metabolite concentrations and postpartum glycaemic biomarkers were quantified. To date, studies within ERGO found higher exposure to phthalates and phthalate mixtures, and separately, higher exposure to radioactive ambient particulate matter, were associated with adverse gestational glycaemic outcomes. Additionally, certain personal care products used in pregnancy, notably hair oils, were associated with higher urinary phthalate metabolite concentrations, earlier gestational age at delivery and lower birth weight. Future work will leverage the longitudinal data collected on pregnancy and cardiometabolic outcomes, environmental exposures, questionnaires, banked biospecimens and paediatric data within the ERGO Study.",PMC11086466
38704805,"Christopher J Borgert, Lyle D Burgoon, John C Matthews",The physiological and biochemical basis of potency thresholds modeled using human estrogen receptor alpha: implications for identifying endocrine disruptors.,2024,"The endocrine system functions by interactions between ligands and receptors. Ligands exhibit potency for binding to and interacting with receptors. Potency is the product of affinity and efficacy. Potency and physiological concentration determine the ability of a ligand to produce physiological effects. The kinetic behavior of ligand-receptor interactions conforms to the laws of mass action. The laws of mass action define the relationship between the affinity of a ligand and the fraction of cognate receptors that it occupies at any physiological concentration. We previously identified the minimum ligand potency required to produce clinically observable estrogenic agonist effects via the human estrogen receptor-alpha (ERα). By examining data on botanical estrogens and dietary supplements, we demonstrated that ERα ligands with potency lower than one one-thousandth that of the primary endogenous hormone 17β-estradiol (E2) do not produce clinically observable estrogenic effects. This allowed us to propose a Human-Relevant Potency Threshold (HRPT) for ERα ligands of 1 × 10-4 relative to E2. Here, we test the hypothesis that the HRPT for ERα arises from the receptor occupancy by the normal metabolic milieu of endogenous ERα ligands. The metabolic milieu comprises precursors to hormones, metabolites of hormones, and other normal products of metabolism. We have calculated fractional receptor occupancies for ERα ligands with potencies below and above the previously established HRPT when normal circulating levels of some endogenous ERα ligands and E2 were also present. Fractional receptor occupancy calculations showed that individual ERα ligands with potencies more than tenfold higher than the HRPT can compete for occupancy at ERα against individual components of the endogenous metabolic milieu and against mixtures of those components at concentrations found naturally in human blood. Ligands with potencies less than tenfold higher than the HRPT were unable to compete successfully for ERα. These results show that the HRPT for ERα agonism (10-4 relative to E2) proposed previously is quite conservative and should be considered strong evidence against the potential for disruption of the estrogenic pathway. For chemicals with potency 10-3 of E2, the potential for estrogenic endocrine disruption must be considered equivocal and subject to the presence of corroborative evidence. Most importantly, this work demonstrates that the endogenous metabolic milieu is responsible for the observed ERα agonist HRPT, that this HRPT applies also to ERα antagonists, and it provides a compelling mechanistic explanation for the HRPT that is grounded in basic principles of molecular kinetics using well characterized properties and concentrations of endogenous components of normal metabolism.",PMC11106131
38674942,"Claire-Adeline Dantagnan, Sylvie Babajko, Ali Nassif, Sophia Houari, Katia Jedeon, Philippe François, Elisabeth Dursun, Jean-Pierre Attal, Julia Bosco",Analysis of Resin-Based Dental Materials' Composition Depending on Their Clinical Applications.,2024,"The objective of this study was to detail the monomer composition of resin-based dental materials sold in the market in 2023 and to evaluate the proportion of bisphenol A (BPA)-derivatives in relation to their applications. A search on manufacturers' websites was performed to reference resin-based dental materials currently on the European market (including the European Union (EU) and United Kingdom (UK). Their monomer composition was determined using material-safety data sheets and was completed by a search on the PubMed database. Among the 543 material compositions exploitable, 382 (70.3%) contained BPA derivatives. Among them, 56.2% contained BisGMA and 28% BisEMA, the most frequently reported. A total of 59 monomers, of which six were BPA derivatives, were found. In total, 309 materials (56.9%) contained UDMA and 292 (53.8%) TEGDMA. Less than one third of materials identified contained no BPA derivatives. These proportions vary a lot depending on their applications, with materials dedicated to the dental care of young populations containing the highest proportions of BPA-derivative monomers. The long-term effects on human health of the different monomers identified including BPA-derivative monomers is a source of concern. For children and pregnant or lactating women arises the question of whether to take a precautionary principle and avoid the use of resin-based dental materials likely to release BPA by opting for alternative materials.",PMC11053636
38668470,"Siyuan Liu, Jing Liu",An Integrated Approach of Bioassays and Non-Target Screening for the Assessment of Endocrine-Disrupting Activities in Tap Water and Identification of Novel Endocrine-Disrupting Chemicals.,2024,"The safety of drinking water is a significant environmental issue of great concern for human health since numerous contaminants are often detected in drinking water and its sources. Boiling is a common household method used to produce relatively high-quality drinking water in some countries and regions. In this study, with the aid of an integrated approach of in vitro bioassays and non-target analysis based on high-resolution mass spectrometry coupled with liquid chromatography, alterations in endocrine-disrupting activities in tap water samples without and with boiling were revealed, as well as the potential endocrine-disrupting chemicals (EDCs) contributing to these alterations were identified. The organic extracts of tap water had no significant (ant)agonistic activities against an estrogen receptor (ER), progesterone receptor (PR), glucocorticoid receptor (GR), and mineralocorticoid receptor (MR) at enrichment concentrations of ≤10 times, posing no immediate or acute health risk to humans. However, the presence of agonistic activities against PR and MR and antagonistic activities against ER, PR, GR, and MR in OEs of tap water at relatively higher enrichment concentrations still raise potential health concerns. Boiling effectively reduced antagonistic activities against these steroid hormone receptors (SHRs) but increased estrogenic and glucocorticoid activities in drinking water. Four novel potential EDCs, including one UV filter (phenylbenzimidazole sulfonic acid, PBSA) and three natural metabolites of organisms (beta-hydroxymyristic acid, 12-hydroxyoctadecanoic acid, and isorosmanol) were identified in drinking water samples, each of which showed (ant)agonistic activities against different SHRs. Given the widespread use of UV filters in sunscreens to prevent skin cancer, the health risks posed by PBSA as an identified novel EDC are of concern. Although boiling has been thought to reduce the health risk of drinking water contamination, our findings suggest that boiling may have a more complex effect on the endocrine-disrupting activities of drinking water and, therefore, a more comprehensive assessment is needed.",PMC11054029
