PM ID,Entity,Class,Sentence id
8930552,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,1
8930552,alter,ACTIVITY,2
8930552,serum,TARGET,3
8930552,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,5
8930552,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,title
9168014,increases,ACTIVITY,3
9168014,endocrine disruptors,ENDOCRINE_DISRUPTING_CHEMICAL,6
9168014,undertaken,ACTIVITY,8
9349835,ddt,ENDOCRINE_DISRUPTING_CHEMICAL,3
9443998,effects,ACTIVITY,3
9443998,polychlorinated biphenyls,ENDOCRINE_DISRUPTING_CHEMICAL,9
9443998,immunotoxicity,ACTIVITY,9
9703492,"2,3,7,8-tetrachlorodibenzo-p-dioxin",ENDOCRINE_DISRUPTING_CHEMICAL,2
9703492,steroid,ENDOCRINE_DISRUPTING_CHEMICAL,2
9703492,modulate,ACTIVITY,2
9703492,ahr,TARGET,3
9703492,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,3
9703492,agonists,ACTIVITY,5
9703492,individual,ACTIVITY,6
9721254,estrogen receptor,TARGET,1
9721254,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,1
9721254,increased,ACTIVITY,2
9721254,estrogen receptor,TARGET,4
9721254,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,4
9721254,binding,ACTIVITY,4
9721254,binding interactions,ACTIVITY,5
9721254,solubility,ACTIVITY,5
9721254,affinity,ACTIVITY,6
9721254,binding interactions,ACTIVITY,7
9721254,involving,ACTIVITY,8
9721254,introduced,ACTIVITY,9
9721254,interactions,ACTIVITY,9
9721254,estrogen receptor,TARGET,title
9721254,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,title
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,1
10090707,inhibits,ACTIVITY,1
10090707,disrupt,ACTIVITY,4
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,5
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,6
10090707,estrogen receptor,TARGET,6
10090707,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,6
10090707,antagonized,ACTIVITY,6
10090707,activity,ACTIVITY,6
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,7
10090707,inhibitory activity,ACTIVITY,7
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,8
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,9
10090707,progesterone,ENDOCRINE_DISRUPTING_CHEMICAL,9
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,10
10090707,methoxychlor,ENDOCRINE_DISRUPTING_CHEMICAL,title
10090707,inhibits,ACTIVITY,title
10421769,introduction,ACTIVITY,1
10421769,introduction,ACTIVITY,title
10753091,steroid,ENDOCRINE_DISRUPTING_CHEMICAL,1
10753091,endocrine disruptors,ENDOCRINE_DISRUPTING_CHEMICAL,2
10753091,chlordane,ENDOCRINE_DISRUPTING_CHEMICAL,3
10753091,aroclor 1242,ENDOCRINE_DISRUPTING_CHEMICAL,3
10753091,steroid,ENDOCRINE_DISRUPTING_CHEMICAL,3
10753091,steroid,ENDOCRINE_DISRUPTING_CHEMICAL,4
10753091,aroclor 1242,ENDOCRINE_DISRUPTING_CHEMICAL,5
10753091,chlordane,ENDOCRINE_DISRUPTING_CHEMICAL,5
10753091,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,5
10753091,progesterone,ENDOCRINE_DISRUPTING_CHEMICAL,5
10753091,sex-steroid,ENDOCRINE_DISRUPTING_CHEMICAL,6
10753091,steroid,ENDOCRINE_DISRUPTING_CHEMICAL,title
11017896,phthalate esters,ENDOCRINE_DISRUPTING_CHEMICAL,1
11017896,serum,TARGET,1
11017896,serum,TARGET,6
11017896,phthalate esters,ENDOCRINE_DISRUPTING_CHEMICAL,7
11017896,serum,TARGET,11
11017896,activity,ACTIVITY,15
11017896,phthalate esters,ENDOCRINE_DISRUPTING_CHEMICAL,title
11017896,serum,TARGET,title
11102301,estradiol,ENDOCRINE_DISRUPTING_CHEMICAL,4
11102301,reduced,ACTIVITY,6
11102301,reduced,ACTIVITY,7
11564618,increase,ACTIVITY,5
11781162,estrogen receptor,TARGET,1
11781162,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,1
11781162,binding,ACTIVITY,1
11781162,estrogen receptor,TARGET,5
11781162,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,5
11781162,binding,ACTIVITY,6
11781162,estradiol,ENDOCRINE_DISRUPTING_CHEMICAL,8
11781162,bind,ACTIVITY,8
11781162,inactivity,ACTIVITY,9
11781162,binding,ACTIVITY,9
11781162,binding,ACTIVITY,10
11781162,estrogen receptor,TARGET,title
11781162,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,title
11781162,binding,ACTIVITY,title
11882478,octylphenol,ENDOCRINE_DISRUPTING_CHEMICAL,1
11882478,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,2
11882478,octylphenol,ENDOCRINE_DISRUPTING_CHEMICAL,3
11882478,regulated,ACTIVITY,6
11882478,implicated,ACTIVITY,7
11882478,disease,ACTIVITY,7
11882478,affect,ACTIVITY,10
11882478,stimulated,ACTIVITY,10
11882478,increased,ACTIVITY,14
11882478,octylphenol,ENDOCRINE_DISRUPTING_CHEMICAL,title
12060841,affect,ACTIVITY,1
12060841,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,5
12060841,testosterone propionate,ENDOCRINE_DISRUPTING_CHEMICAL,6
12060841,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,6
12060841,increased,ACTIVITY,7
12060841,antiandrogen,ENDOCRINE_DISRUPTING_CHEMICAL,8
12060841,vinclozolin,ENDOCRINE_DISRUPTING_CHEMICAL,8
12060841,brain,TARGET,8
12060841,vinclozolin,ENDOCRINE_DISRUPTING_CHEMICAL,11
12060841,inhibits,ACTIVITY,11
12060841,vinclozolin,ENDOCRINE_DISRUPTING_CHEMICAL,12
12060841,alter,ACTIVITY,12
12060841,vinclozolin,ENDOCRINE_DISRUPTING_CHEMICAL,13
12060841,injected,ACTIVITY,13
12060841,flutamide,ENDOCRINE_DISRUPTING_CHEMICAL,16
12060841,vinclozolin,ENDOCRINE_DISRUPTING_CHEMICAL,16
12060841,reduced,ACTIVITY,16
12060841,vinclozolin,ENDOCRINE_DISRUPTING_CHEMICAL,17
12060841,antiandrogen,ENDOCRINE_DISRUPTING_CHEMICAL,17
12060841,affect,ACTIVITY,title
12460798,disrupt,ACTIVITY,2
12460798,acetochlor,ENDOCRINE_DISRUPTING_CHEMICAL,8
12460798,acetochlor,ENDOCRINE_DISRUPTING_CHEMICAL,9
12460798,changes,ACTIVITY,9
12573901,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,1
12573901,bisphenol,ENDOCRINE_DISRUPTING_CHEMICAL,1
12573901,bisphenol,ENDOCRINE_DISRUPTING_CHEMICAL,3
12573901,activity,ACTIVITY,3
12573901,bisphenol,ENDOCRINE_DISRUPTING_CHEMICAL,4
12573901,blood,TARGET,5
12573901,bisphenol,ENDOCRINE_DISRUPTING_CHEMICAL,6
12573901,increased,ACTIVITY,6
12573901,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,8
12573901,bisphenol,ENDOCRINE_DISRUPTING_CHEMICAL,8
12573901,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,9
12573901,activating,ACTIVITY,9
12573901,testosterone,ENDOCRINE_DISRUPTING_CHEMICAL,title
12573901,bisphenol,ENDOCRINE_DISRUPTING_CHEMICAL,title
12883014,increases,ACTIVITY,6
12883014,increased,ACTIVITY,7
12883014,interpreted,ACTIVITY,8
12896846,polychlorinated biphenyls,ENDOCRINE_DISRUPTING_CHEMICAL,1
12896846,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,1
12896846,disrupt,ACTIVITY,2
12896846,endocrine disruptors,ENDOCRINE_DISRUPTING_CHEMICAL,3
12896846,estrogen,ENDOCRINE_DISRUPTING_CHEMICAL,3
12896846,effects,ACTIVITY,3
