PMID,Title,Abstract,Sentence,Common Words in Vocabulary 1
38813174,exploring the mechanisms underlying effects of bisphenol a on cardiovascular disease by network toxicology and molecular docking,globally cardiovascular disease cvd has emerged as a leading cause of mortality bisphenol a bpa recognized as one of the most prevalent and widely distributed endocrinedisrupting chemicals edcs has been consistently linked to the progression of cvd this research centers on unraveling the molecular mechanisms responsible for the toxic effects of bpa exposure on cvd key targets and pathways involved in action of bpa on cvd were investigated by network toxicology binding abilities of bpa to core targets were evaluated by molecular docking based on information retrieved from chembl drugbank and omim databases a total of 27 potential targets were found to be associated with the influence of bpa on cvd furthermore the string and cytoscape software were employed to identify three central genesesr1 pparg and ptgs2and to construct both the proteinprotein interaction network and an interaction diagram of potential targets gene ontology go and kegg kyoto encyclopedia of genes and genomes kegg pathway enrichment analyses via webgestalt revealed key biological processes bp cellular components cc molecular functions mf and pathways such as the calcium signaling pathway inflammatory mediator regulation of trp channels gap junction adrenergic signaling in cardiomyocytes cgmppkg signaling pathway and camp signaling pathway predominantly involved in bpainduced cvd toxicity by using molecular docking investigations it proved that bpa binds to esr1 pparg and ptgs2 steadily and strongly this study not only establishes a theoretical framework for understanding the molecular toxicity mechanism of bpa in cardiovascular disease cvd but also introduces an innovative network toxicology approach to methodically investigate the influence of environmental contaminants on cvd this methodology sets the stage for drug discovery efforts targeting cvd linked to exposure to endocrinedisrupting chemicals edcs,globally cardiovascular disease cvd has emerged as a leading cause of mortality bisphenol a bpa recognized as one of the most prevalent and widely distributed endocrinedisrupting chemicals edcs has been consistently linked to the progression of cvd this research centers on unraveling the molecular mechanisms responsible for the toxic effects of bpa exposure on cvd key targets and pathways involved in action of bpa on cvd were investigated by network toxicology binding abilities of bpa to core targets were evaluated by molecular docking based on information retrieved from chembl drugbank and omim databases a total of 27 potential targets were found to be associated with the influence of bpa on cvd furthermore the string and cytoscape software were employed to identify three central genesesr1 pparg and ptgs2and to construct both the proteinprotein interaction network and an interaction diagram of potential targets gene ontology go and kegg kyoto encyclopedia of genes and genomes kegg pathway enrichment analyses via webgestalt revealed key biological processes bp cellular components cc molecular functions mf and pathways such as the calcium signaling pathway inflammatory mediator regulation of trp channels gap junction adrenergic signaling in cardiomyocytes cgmppkg signaling pathway and camp signaling pathway predominantly involved in bpainduced cvd toxicity by using molecular docking investigations it proved that bpa binds to esr1 pparg and ptgs2 steadily and strongly this study not only establishes a theoretical framework for understanding the molecular toxicity mechanism of bpa in cardiovascular disease cvd but also introduces an innovative network toxicology approach to methodically investigate the influence of environmental contaminants on cvd this methodology sets the stage for drug discovery efforts targeting cvd linked to exposure to endocrinedisrupting chemicals edcs,"binding(ACTIVITY), associated(ACTIVITY), influence(ACTIVITY), mediator(ACTIVITY), influence(ACTIVITY)"
38787124,microplastics and endocrine disruptors in typical wastewater treatment plants in megacity shanghai,the fast development of chinas urbanization has led to a notable release of emerging pollutants including microplastics mps and endocrine disruptors edcs generally these pollutants enter the coastal environment through the discharge of wastewater treatment plants wwtps and finally threaten the organisms in the receiving waterbody the study investigated the environmental behavior of mps and edcs in two typical wwtps in one of the megacities in china shanghai the abundance of mps in the influent ranged from 321 to 976 itemsl four shapes films fragments fibers and microbead were found while fibers and films dominated transparent 3163 and white 2047 mps were more frequently observed while polyethylene terephthalate cellulose and cellophane were the main polymetric materials the size of the mps fell between 158 μm and 2220 μm and the smaller one 500 μm dominated the removal efficiencies of the two wwtps for mps ranged from 64 to 92 and both wwtps performed better for large pieces of mps 500 μm for edcs total concentrations in the influent were detected ranging from 113 to 2780 ngl two groups including phenolic estrogens pes and steroid estrogens ses were detected and pes especially bisphenol a bpa were the predominant individuals among the studied edcs specifically pes ranged from 828 to 2637 ngl while ses ranged from 273 to 143 ngl the removal efficiencies of the wwtps for edcs varied 828100 as well possibly due to the different treatment compartments and contamination load in the influent seasonal variations for both mps and edcs were observed specifically concentrations of mps and edcs in wwtps influent were higher in the wet season as well as the removal efficiency furthermore there was a correlation observed between the concentrations of mps and edcs suggesting that mps and edcs may originate from the same source and that edcs released by mps cannot be ignored during treatment finally the study evaluated the environmental risk of the effluents mps led to a minor risk level i while edcs might lead to an adverse impact on algae rqs  000140024 and fish rqs  34302 in summary wwtps received considerable amounts of mps and edcs although the wwtps removed the contaminants efficiently the environmental risk of the effluent needs to be noted,the fast development of chinas urbanization has led to a notable release of emerging pollutants including microplastics mps and endocrine disruptors edcs generally these pollutants enter the coastal environment through the discharge of wastewater treatment plants wwtps and finally threaten the organisms in the receiving waterbody the study investigated the environmental behavior of mps and edcs in two typical wwtps in one of the megacities in china shanghai the abundance of mps in the influent ranged from 321 to 976 itemsl four shapes films fragments fibers and microbead were found while fibers and films dominated transparent 3163 and white 2047 mps were more frequently observed while polyethylene terephthalate cellulose and cellophane were the main polymetric materials the size of the mps fell between 158 μm and 2220 μm and the smaller one 500 μm dominated the removal efficiencies of the two wwtps for mps ranged from 64 to 92 and both wwtps performed better for large pieces of mps 500 μm for edcs total concentrations in the influent were detected ranging from 113 to 2780 ngl two groups including phenolic estrogens pes and steroid estrogens ses were detected and pes especially bisphenol a bpa were the predominant individuals among the studied edcs specifically pes ranged from 828 to 2637 ngl while ses ranged from 273 to 143 ngl the removal efficiencies of the wwtps for edcs varied 828100 as well possibly due to the different treatment compartments and contamination load in the influent seasonal variations for both mps and edcs were observed specifically concentrations of mps and edcs in wwtps influent were higher in the wet season as well as the removal efficiency furthermore there was a correlation observed between the concentrations of mps and edcs suggesting that mps and edcs may originate from the same source and that edcs released by mps cannot be ignored during treatment finally the study evaluated the environmental risk of the effluents mps led to a minor risk level i while edcs might lead to an adverse impact on algae rqs  000140024 and fish rqs  34302 in summary wwtps received considerable amounts of mps and edcs although the wwtps removed the contaminants efficiently the environmental risk of the effluent needs to be noted,varied(ACTIVITY)
38780942,prenatal exposure to chemical mixtures and metabolic syndrome risk in children,prenatal exposure to ubiquitous endocrinedisrupting chemicals edcs may increase the risk of metabolic syndrome mets in children but few studies have studied chemical mixtures or explored underlying protein and metabolic signatures to investigate associations of prenatal exposure to edc mixtures with mets risk score in children and identify associated proteins and metabolites this populationbased birth cohort study used data collected between april 1 2003 and february 26 2016 from the human early life exposome cohort based in france greece lithuania norway spain and the uk eligible participants included motherchild pairs with measured prenatal edc exposures and complete data on childhood mets risk factors proteins and metabolites data were analyzed between october 2022 and july 2023 nine metals 3 organochlorine pesticides 5 polychlorinated biphenyls 2 polybrominated diphenyl ethers pbdes 5 perfluoroalkyl substances pfas 10 phthalate metabolites 3 phenols 4 parabens and 4 organophosphate pesticide metabolites measured in urine and blood samples collected during pregnancy at 6 to 11 years of age a composite mets risk score was constructed using z scores of waist circumference systolic and diastolic blood pressures triglycerides highdensity lipoprotein cholesterol and insulin levels childhood levels of 44 urinary metabolites 177 serum metabolites and 35 plasma proteins were quantified using targeted methods associations were assessed using bayesian weighted quantile sum regressions applied to mixtures for each chemical group the study included 1134 mothers mean sd age at birth 307 49 years and their children mean sd age 78 15 years 617 male children 544 and 517 female children 456 mean sd mets risk score 01 23 mets score increased per 1quartile increase of the mixture for metals β  044 95 credible interval cri 030 to 059 organochlorine pesticides β  022 95 cri 015 to 029 pbdes β  017 95 cri 006 to 027 and pfas β  019 95 cri 014 to 024 highmolecular weight phthalate mixtures β  007 95 cri 010 to 004 and lowmolecular weight phthalate mixtures β  013 95 cri 018 to 008 were associated with a decreased mets score most edc mixtures were associated with elevated proinflammatory proteins amino acids and altered glycerophospholipids which in turn were associated with increased mets score this cohort study suggests that prenatal exposure to edc mixtures may be associated with adverse metabolic health in children given the pervasive nature of edcs and the increase in mets these findings hold substantial public health implications,prenatal exposure to ubiquitous endocrinedisrupting chemicals edcs may increase the risk of metabolic syndrome mets in children but few studies have studied chemical mixtures or explored underlying protein and metabolic signatures to investigate associations of prenatal exposure to edc mixtures with mets risk score in children and identify associated proteins and metabolites this populationbased birth cohort study used data collected between april 1 2003 and february 26 2016 from the human early life exposome cohort based in france greece lithuania norway spain and the uk eligible participants included motherchild pairs with measured prenatal edc exposures and complete data on childhood mets risk factors proteins and metabolites data were analyzed between october 2022 and july 2023 nine metals 3 organochlorine pesticides 5 polychlorinated biphenyls 2 polybrominated diphenyl ethers pbdes 5 perfluoroalkyl substances pfas 10 phthalate metabolites 3 phenols 4 parabens and 4 organophosphate pesticide metabolites measured in urine and blood samples collected during pregnancy at 6 to 11 years of age a composite mets risk score was constructed using z scores of waist circumference systolic and diastolic blood pressures triglycerides highdensity lipoprotein cholesterol and insulin levels childhood levels of 44 urinary metabolites 177 serum metabolites and 35 plasma proteins were quantified using targeted methods associations were assessed using bayesian weighted quantile sum regressions applied to mixtures for each chemical group the study included 1134 mothers mean sd age at birth 307 49 years and their children mean sd age 78 15 years 617 male children 544 and 517 female children 456 mean sd mets risk score 01 23 mets score increased per 1quartile increase of the mixture for metals β  044 95 credible interval cri 030 to 059 organochlorine pesticides β  022 95 cri 015 to 029 pbdes β  017 95 cri 006 to 027 and pfas β  019 95 cri 014 to 024 highmolecular weight phthalate mixtures β  007 95 cri 010 to 004 and lowmolecular weight phthalate mixtures β  013 95 cri 018 to 008 were associated with a decreased mets score most edc mixtures were associated with elevated proinflammatory proteins amino acids and altered glycerophospholipids which in turn were associated with increased mets score this cohort study suggests that prenatal exposure to edc mixtures may be associated with adverse metabolic health in children given the pervasive nature of edcs and the increase in mets these findings hold substantial public health implications,"associated(ACTIVITY), increased(ACTIVITY), associated(ACTIVITY), decreased(ACTIVITY), associated(ACTIVITY), elevated(ACTIVITY), altered(ACTIVITY), associated(ACTIVITY), increased(ACTIVITY), associated(ACTIVITY)"
38732537,vitamin d deficiency exacerbates poor sleep outcomes with endocrinedisrupting chemicals exposure a large american population study,phthalates and bisphenol a are recognized as the predominant endocrinedisrupting substances edcs in the environment but their impact on sleep health remains unclear vitamin d has often been reported to play a role in sleep health and may be affected by endocrinedisrupting compounds the study utilized data from 5476 individuals in the nhanes project to investigate the correlation between combined exposure to environmental edcs and sleep duration through modeling various exposures furthermore it emphasizes the importance of vitamin d in the present scenario preliminary analyses suggested that vitamin ddeficient individuals generally slept shorter than individuals with normal vitamin d p  005 exposure to monoethyl phthalate mep triclosan trs and monobenzyl phthalate mzp either alone or in combination was associated with reduced sleep duration and a greater risk of vitamin d deficiency individuals with low vitamin d levels exposed to trs experienced shorter sleep duration than those with normal vitamin d levels p  005 trs and mzp were identified as crucial factors in patient outcomes when evaluating mixed exposures p  005 the results provide new data supporting a link between exposure to edcs and insufficient sleep length additionally they imply that a vitamin d shortage may worsen the sleep problems induced by edcs,phthalates and bisphenol a are recognized as the predominant endocrinedisrupting substances edcs in the environment but their impact on sleep health remains unclear vitamin d has often been reported to play a role in sleep health and may be affected by endocrinedisrupting compounds the study utilized data from 5476 individuals in the nhanes project to investigate the correlation between combined exposure to environmental edcs and sleep duration through modeling various exposures furthermore it emphasizes the importance of vitamin d in the present scenario preliminary analyses suggested that vitamin ddeficient individuals generally slept shorter than individuals with normal vitamin d p  005 exposure to monoethyl phthalate mep triclosan trs and monobenzyl phthalate mzp either alone or in combination was associated with reduced sleep duration and a greater risk of vitamin d deficiency individuals with low vitamin d levels exposed to trs experienced shorter sleep duration than those with normal vitamin d levels p  005 trs and mzp were identified as crucial factors in patient outcomes when evaluating mixed exposures p  005 the results provide new data supporting a link between exposure to edcs and insufficient sleep length additionally they imply that a vitamin d shortage may worsen the sleep problems induced by edcs,"affected(ACTIVITY), associated(ACTIVITY), reduced(ACTIVITY), induced(ACTIVITY)"
38732095,extracellular vesicles in environmental toxicological studies association between urinary concentrations of phthalate metabolites and exosomal mirna expression profiles,phthalates are chemical compounds mainly used as additives in plastics which are known to induce harmful impacts to the environment and human health due to their ability to act as hormonemimics few studies have been reported on the relationship between human exposure to phthalates and the level of circulating micrornas mirs especially those mirs encapsulated in extracellular vesiclesexosomes or exosomelike vesicles elvs we examined the relationship of elvmir expression patterns and urine of adult men with five phthalate metabolites ie mono isobutyl phthalate mononbutyl phthalate mono benzyl phthalate mono2ethyl5oxohexyl phthalate mono2ethylhexyl phthalate to identify potential biomarkers and relevant pathways we found significant positive associations which were further confirmed by multivariable analysis overall our analyses showed that the σ phthalate metabolite concentration was associated with a significant increase in the expression level of two mirs found in elv mir202 and mir543 different pathways including cancer and immunerelated responses were predicted to be involved in this relationship analyzing the specific downstream target genes of mir202 and mir543 we identified the phosphatase and tensin homolog pten as the key gene in several converging pathways in summary the obtained results demonstrate that exposure to environmental phthalates could be related to altered expression profiles of specific elvmirs in adult men thereby demonstrating the potential of mirs carried by exosomes to act as early effect biomarkers,phthalates are chemical compounds mainly used as additives in plastics which are known to induce harmful impacts to the environment and human health due to their ability to act as hormonemimics few studies have been reported on the relationship between human exposure to phthalates and the level of circulating micrornas mirs especially those mirs encapsulated in extracellular vesiclesexosomes or exosomelike vesicles elvs we examined the relationship of elvmir expression patterns and urine of adult men with five phthalate metabolites ie mono isobutyl phthalate mononbutyl phthalate mono benzyl phthalate mono2ethyl5oxohexyl phthalate mono2ethylhexyl phthalate to identify potential biomarkers and relevant pathways we found significant positive associations which were further confirmed by multivariable analysis overall our analyses showed that the σ phthalate metabolite concentration was associated with a significant increase in the expression level of two mirs found in elv mir202 and mir543 different pathways including cancer and immunerelated responses were predicted to be involved in this relationship analyzing the specific downstream target genes of mir202 and mir543 we identified the phosphatase and tensin homolog pten as the key gene in several converging pathways in summary the obtained results demonstrate that exposure to environmental phthalates could be related to altered expression profiles of specific elvmirs in adult men thereby demonstrating the potential of mirs carried by exosomes to act as early effect biomarkers,"induce(ACTIVITY), associated(ACTIVITY), altered(ACTIVITY)"
38728218,fetal and infancy exposure to phenols parabens and phthalates and anthropometric measurements up to 36 months in the longitudinal sepages cohort,endocrinedisrupting chemicals may play a role in adiposity development during childhood until now literature in this scope suffers from methodologic limitations in exposure assessment using one or few urine samples and missing assessment during the infancy period we investigated the associations between earlylife exposure to quickly metabolized chemicals and postnatal growth relying on repeated withinsubject urine collections over pregnancy and infancy we studied the associations of four phenols four parabens seven phthalates and one nonphthalate plasticizer from weekly pooled urine samples collected from the mother during second and third trimesters median 18 and 34 gestational weeks respectively and infant at 2 and 12 months of age and child growth until 36 months we relied on repeated measures of height weight and head circumference from study visits and the child health booklet to predict growth outcomes at 3 and 36 months using the jenssbayley nonlinear mixed model we assessed associations with individual chemicals using adjusted linear regression and mixtures of chemicals using a bayesian kernel machine regression model the unipollutant analysis revealed few associations bisphenol s bps at second trimester was positively associated with all infant growth parameters at 3 and 36 months with similar patterns between exposure at third trimester and all infant growth parameters at 3 months mononbutyl phthalate mnbp at 12 months was positively associated with body mass index bmi weight and head circumference at 36 months mixture analysis revealed positive associations between exposure at 12 months and bmi and weight at 36 months with mnbp showing the highest effect size within the mixture this study suggests that exposure in early infancy may be associated with increased weight and bmi in early childhood which are risk factors of obesity in later life furthermore this study highlighted the impact of bps a compound replacing bisphenol a which has never been studied in this context httpsdoiorg101289ehp13644,endocrinedisrupting chemicals may play a role in adiposity development during childhood until now literature in this scope suffers from methodologic limitations in exposure assessment using one or few urine samples and missing assessment during the infancy period we investigated the associations between earlylife exposure to quickly metabolized chemicals and postnatal growth relying on repeated withinsubject urine collections over pregnancy and infancy we studied the associations of four phenols four parabens seven phthalates and one nonphthalate plasticizer from weekly pooled urine samples collected from the mother during second and third trimesters median 18 and 34 gestational weeks respectively and infant at 2 and 12 months of age and child growth until 36 months we relied on repeated measures of height weight and head circumference from study visits and the child health booklet to predict growth outcomes at 3 and 36 months using the jenssbayley nonlinear mixed model we assessed associations with individual chemicals using adjusted linear regression and mixtures of chemicals using a bayesian kernel machine regression model the unipollutant analysis revealed few associations bisphenol s bps at second trimester was positively associated with all infant growth parameters at 3 and 36 months with similar patterns between exposure at third trimester and all infant growth parameters at 3 months mononbutyl phthalate mnbp at 12 months was positively associated with body mass index bmi weight and head circumference at 36 months mixture analysis revealed positive associations between exposure at 12 months and bmi and weight at 36 months with mnbp showing the highest effect size within the mixture this study suggests that exposure in early infancy may be associated with increased weight and bmi in early childhood which are risk factors of obesity in later life furthermore this study highlighted the impact of bps a compound replacing bisphenol a which has never been studied in this context httpsdoiorg101289ehp13644,"adjusted(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY), increased(ACTIVITY)"
38719310,cohort profile the environmental reproductive and glucose outcomes ergo study boston massachusetts usa  a prospective pregnancy cohort study of the impacts of environmental exposures on parental cardiometabolic health,pregnancy and the postpartum period are increasingly recognised as sensitive windows for cardiometabolic disease risk growing evidence suggests environmental exposures including endocrinedisrupting chemicals edcs are associated with an increased risk of pregnancy complications that are associated with longterm cardiometabolic risk however the impact of perinatal edc exposure on subsequent cardiometabolic risk postpregnancy is less understood the environmental reproductive and glucose outcomes ergo study was established to investigate the associations of environmental exposures during the perinatal period with postpregnancy parental cardiometabolic health pregnant individuals aged 18 years without preexisting diabetes were recruited at 15 weeks of gestation from boston massachusetts area hospitals participants completed 4 prenatal study visits median 12 19 26 36 weeks of gestation and 1 postpartum visit median 9 weeks during which we collected biospecimens health histories demographic and behavioural data and vitals and anthropometric measurements participants completed a postpartum fasting 2hour 75 g oral glucose tolerance test clinical data were abstracted from electronic medical records ongoing as of 2024 extended postpregnancy followup visits occur annually following similar data collection protocols we enrolled 653 unique pregnancies and retained 633 through delivery participants had a mean age of 33 years 10 n61 developed gestational diabetes and 8 n50 developed preeclampsia participant pregnancy and postpartum urinary phthalate metabolite concentrations and postpartum glycaemic biomarkers were quantified to date studies within ergo found higher exposure to phthalates and phthalate mixtures and separately higher exposure to radioactive ambient particulate matter were associated with adverse gestational glycaemic outcomes additionally certain personal care products used in pregnancy notably hair oils were associated with higher urinary phthalate metabolite concentrations earlier gestational age at delivery and lower birth weight future work will leverage the longitudinal data collected on pregnancy and cardiometabolic outcomes environmental exposures questionnaires banked biospecimens and paediatric data within the ergo study,pregnancy and the postpartum period are increasingly recognised as sensitive windows for cardiometabolic disease risk growing evidence suggests environmental exposures including endocrinedisrupting chemicals edcs are associated with an increased risk of pregnancy complications that are associated with longterm cardiometabolic risk however the impact of perinatal edc exposure on subsequent cardiometabolic risk postpregnancy is less understood the environmental reproductive and glucose outcomes ergo study was established to investigate the associations of environmental exposures during the perinatal period with postpregnancy parental cardiometabolic health pregnant individuals aged 18 years without preexisting diabetes were recruited at 15 weeks of gestation from boston massachusetts area hospitals participants completed 4 prenatal study visits median 12 19 26 36 weeks of gestation and 1 postpartum visit median 9 weeks during which we collected biospecimens health histories demographic and behavioural data and vitals and anthropometric measurements participants completed a postpartum fasting 2hour 75 g oral glucose tolerance test clinical data were abstracted from electronic medical records ongoing as of 2024 extended postpregnancy followup visits occur annually following similar data collection protocols we enrolled 653 unique pregnancies and retained 633 through delivery participants had a mean age of 33 years 10 n61 developed gestational diabetes and 8 n50 developed preeclampsia participant pregnancy and postpartum urinary phthalate metabolite concentrations and postpartum glycaemic biomarkers were quantified to date studies within ergo found higher exposure to phthalates and phthalate mixtures and separately higher exposure to radioactive ambient particulate matter were associated with adverse gestational glycaemic outcomes additionally certain personal care products used in pregnancy notably hair oils were associated with higher urinary phthalate metabolite concentrations earlier gestational age at delivery and lower birth weight future work will leverage the longitudinal data collected on pregnancy and cardiometabolic outcomes environmental exposures questionnaires banked biospecimens and paediatric data within the ergo study,"associated(ACTIVITY), increased(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY), associated(ACTIVITY)"
38704805,the physiological and biochemical basis of potency thresholds modeled using human estrogen receptor alpha implications for identifying endocrine disruptors,the endocrine system functions by interactions between ligands and receptors ligands exhibit potency for binding to and interacting with receptors potency is the product of affinity and efficacy potency and physiological concentration determine the ability of a ligand to produce physiological effects the kinetic behavior of ligandreceptor interactions conforms to the laws of mass action the laws of mass action define the relationship between the affinity of a ligand and the fraction of cognate receptors that it occupies at any physiological concentration we previously identified the minimum ligand potency required to produce clinically observable estrogenic agonist effects via the human estrogen receptoralpha erα by examining data on botanical estrogens and dietary supplements we demonstrated that erα ligands with potency lower than one onethousandth that of the primary endogenous hormone 17βestradiol e2 do not produce clinically observable estrogenic effects this allowed us to propose a humanrelevant potency threshold hrpt for erα ligands of 1  104 relative to e2 here we test the hypothesis that the hrpt for erα arises from the receptor occupancy by the normal metabolic milieu of endogenous erα ligands the metabolic milieu comprises precursors to hormones metabolites of hormones and other normal products of metabolism we have calculated fractional receptor occupancies for erα ligands with potencies below and above the previously established hrpt when normal circulating levels of some endogenous erα ligands and e2 were also present fractional receptor occupancy calculations showed that individual erα ligands with potencies more than tenfold higher than the hrpt can compete for occupancy at erα against individual components of the endogenous metabolic milieu and against mixtures of those components at concentrations found naturally in human blood ligands with potencies less than tenfold higher than the hrpt were unable to compete successfully for erα these results show that the hrpt for erα agonism 104 relative to e2 proposed previously is quite conservative and should be considered strong evidence against the potential for disruption of the estrogenic pathway for chemicals with potency 103 of e2 the potential for estrogenic endocrine disruption must be considered equivocal and subject to the presence of corroborative evidence most importantly this work demonstrates that the endogenous metabolic milieu is responsible for the observed erα agonist hrpt that this hrpt applies also to erα antagonists and it provides a compelling mechanistic explanation for the hrpt that is grounded in basic principles of molecular kinetics using well characterized properties and concentrations of endogenous components of normal metabolism,the endocrine system functions by interactions between ligands and receptors ligands exhibit potency for binding to and interacting with receptors potency is the product of affinity and efficacy potency and physiological concentration determine the ability of a ligand to produce physiological effects the kinetic behavior of ligandreceptor interactions conforms to the laws of mass action the laws of mass action define the relationship between the affinity of a ligand and the fraction of cognate receptors that it occupies at any physiological concentration we previously identified the minimum ligand potency required to produce clinically observable estrogenic agonist effects via the human estrogen receptoralpha erα by examining data on botanical estrogens and dietary supplements we demonstrated that erα ligands with potency lower than one onethousandth that of the primary endogenous hormone 17βestradiol e2 do not produce clinically observable estrogenic effects this allowed us to propose a humanrelevant potency threshold hrpt for erα ligands of 1  104 relative to e2 here we test the hypothesis that the hrpt for erα arises from the receptor occupancy by the normal metabolic milieu of endogenous erα ligands the metabolic milieu comprises precursors to hormones metabolites of hormones and other normal products of metabolism we have calculated fractional receptor occupancies for erα ligands with potencies below and above the previously established hrpt when normal circulating levels of some endogenous erα ligands and e2 were also present fractional receptor occupancy calculations showed that individual erα ligands with potencies more than tenfold higher than the hrpt can compete for occupancy at erα against individual components of the endogenous metabolic milieu and against mixtures of those components at concentrations found naturally in human blood ligands with potencies less than tenfold higher than the hrpt were unable to compete successfully for erα these results show that the hrpt for erα agonism 104 relative to e2 proposed previously is quite conservative and should be considered strong evidence against the potential for disruption of the estrogenic pathway for chemicals with potency 103 of e2 the potential for estrogenic endocrine disruption must be considered equivocal and subject to the presence of corroborative evidence most importantly this work demonstrates that the endogenous metabolic milieu is responsible for the observed erα agonist hrpt that this hrpt applies also to erα antagonists and it provides a compelling mechanistic explanation for the hrpt that is grounded in basic principles of molecular kinetics using well characterized properties and concentrations of endogenous components of normal metabolism,"binding(ACTIVITY), affinity(ACTIVITY), affinity(ACTIVITY), agonist(ACTIVITY), agonist(ACTIVITY)"
38674942,analysis of resinbased dental materials composition depending on their clinical applications,the objective of this study was to detail the monomer composition of resinbased dental materials sold in the market in 2023 and to evaluate the proportion of bisphenol a bpaderivatives in relation to their applications a search on manufacturers websites was performed to reference resinbased dental materials currently on the european market including the european union eu and united kingdom uk their monomer composition was determined using materialsafety data sheets and was completed by a search on the pubmed database among the 543 material compositions exploitable 382 703 contained bpa derivatives among them 562 contained bisgma and 28 bisema the most frequently reported a total of 59 monomers of which six were bpa derivatives were found in total 309 materials 569 contained udma and 292 538 tegdma less than one third of materials identified contained no bpa derivatives these proportions vary a lot depending on their applications with materials dedicated to the dental care of young populations containing the highest proportions of bpaderivative monomers the longterm effects on human health of the different monomers identified including bpaderivative monomers is a source of concern for children and pregnant or lactating women arises the question of whether to take a precautionary principle and avoid the use of resinbased dental materials likely to release bpa by opting for alternative materials,the objective of this study was to detail the monomer composition of resinbased dental materials sold in the market in 2023 and to evaluate the proportion of bisphenol a bpaderivatives in relation to their applications a search on manufacturers websites was performed to reference resinbased dental materials currently on the european market including the european union eu and united kingdom uk their monomer composition was determined using materialsafety data sheets and was completed by a search on the pubmed database among the 543 material compositions exploitable 382 703 contained bpa derivatives among them 562 contained bisgma and 28 bisema the most frequently reported a total of 59 monomers of which six were bpa derivatives were found in total 309 materials 569 contained udma and 292 538 tegdma less than one third of materials identified contained no bpa derivatives these proportions vary a lot depending on their applications with materials dedicated to the dental care of young populations containing the highest proportions of bpaderivative monomers the longterm effects on human health of the different monomers identified including bpaderivative monomers is a source of concern for children and pregnant or lactating women arises the question of whether to take a precautionary principle and avoid the use of resinbased dental materials likely to release bpa by opting for alternative materials,vary(ACTIVITY)
38668470,an integrated approach of bioassays and nontarget screening for the assessment of endocrinedisrupting activities in tap water and identification of novel endocrinedisrupting chemicals,the safety of drinking water is a significant environmental issue of great concern for human health since numerous contaminants are often detected in drinking water and its sources boiling is a common household method used to produce relatively highquality drinking water in some countries and regions in this study with the aid of an integrated approach of in vitro bioassays and nontarget analysis based on highresolution mass spectrometry coupled with liquid chromatography alterations in endocrinedisrupting activities in tap water samples without and with boiling were revealed as well as the potential endocrinedisrupting chemicals edcs contributing to these alterations were identified the organic extracts of tap water had no significant antagonistic activities against an estrogen receptor er progesterone receptor pr glucocorticoid receptor gr and mineralocorticoid receptor mr at enrichment concentrations of 10 times posing no immediate or acute health risk to humans however the presence of agonistic activities against pr and mr and antagonistic activities against er pr gr and mr in oes of tap water at relatively higher enrichment concentrations still raise potential health concerns boiling effectively reduced antagonistic activities against these steroid hormone receptors shrs but increased estrogenic and glucocorticoid activities in drinking water four novel potential edcs including one uv filter phenylbenzimidazole sulfonic acid pbsa and three natural metabolites of organisms betahydroxymyristic acid 12hydroxyoctadecanoic acid and isorosmanol were identified in drinking water samples each of which showed antagonistic activities against different shrs given the widespread use of uv filters in sunscreens to prevent skin cancer the health risks posed by pbsa as an identified novel edc are of concern although boiling has been thought to reduce the health risk of drinking water contamination our findings suggest that boiling may have a more complex effect on the endocrinedisrupting activities of drinking water and therefore a more comprehensive assessment is needed,the safety of drinking water is a significant environmental issue of great concern for human health since numerous contaminants are often detected in drinking water and its sources boiling is a common household method used to produce relatively highquality drinking water in some countries and regions in this study with the aid of an integrated approach of in vitro bioassays and nontarget analysis based on highresolution mass spectrometry coupled with liquid chromatography alterations in endocrinedisrupting activities in tap water samples without and with boiling were revealed as well as the potential endocrinedisrupting chemicals edcs contributing to these alterations were identified the organic extracts of tap water had no significant antagonistic activities against an estrogen receptor er progesterone receptor pr glucocorticoid receptor gr and mineralocorticoid receptor mr at enrichment concentrations of 10 times posing no immediate or acute health risk to humans however the presence of agonistic activities against pr and mr and antagonistic activities against er pr gr and mr in oes of tap water at relatively higher enrichment concentrations still raise potential health concerns boiling effectively reduced antagonistic activities against these steroid hormone receptors shrs but increased estrogenic and glucocorticoid activities in drinking water four novel potential edcs including one uv filter phenylbenzimidazole sulfonic acid pbsa and three natural metabolites of organisms betahydroxymyristic acid 12hydroxyoctadecanoic acid and isorosmanol were identified in drinking water samples each of which showed antagonistic activities against different shrs given the widespread use of uv filters in sunscreens to prevent skin cancer the health risks posed by pbsa as an identified novel edc are of concern although boiling has been thought to reduce the health risk of drinking water contamination our findings suggest that boiling may have a more complex effect on the endocrinedisrupting activities of drinking water and therefore a more comprehensive assessment is needed,"reduced(ACTIVITY), increased(ACTIVITY), prevent(ACTIVITY), reduce(ACTIVITY)"
